[I 2024-01-28 15:20:49,880] A new study created in memory with name: no-name-927db11b-3ef2-41ac-be55-56f41f97365f
[I 2024-01-28 15:31:57,828] Trial 0 finished with value: -0.397956 and parameters: {'learning_rate': 0.0009471449934401804, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.00010526170017970647, 'lambda': 3.533324334038134e-08, 'alpha': 1.0982299585713622e-05}. Best is trial 0 with value: -0.397956.
[I 2024-01-28 19:58:03,566] Trial 89 finished with value: -0.426029 and parameters: {'learning_rate': 1.5392194277101108e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 4.83690768926011e-05, 'lambda': 2.3814890507395055e-07, 'alpha': 0.010762248995056997}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:00:08,888] Trial 90 finished with value: -0.426189 and parameters: {'learning_rate': 3.5277853478722574e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 9.90551705022433e-05, 'lambda': 1.668706859925122e-08, 'alpha': 0.0011543717273032486}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:02:37,426] Trial 91 finished with value: -0.426677 and parameters: {'learning_rate': 2.6489265091422406e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.78081408961704e-05, 'lambda': 3.599495033192899e-07, 'alpha': 0.002629451672879549}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:04:38,602] Trial 92 finished with value: -0.426517 and parameters: {'learning_rate': 1.8623411856606547e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.2470621884637794e-05, 'lambda': 6.047104615441877e-07, 'alpha': 0.004775399416696733}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:06:53,268] Trial 93 finished with value: -0.426566 and parameters: {'learning_rate': 9.548876455704027e-07, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.017099941255268e-05, 'lambda': 1.6072232473211134e-06, 'alpha': 0.001982586601940212}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:08:54,591] Trial 94 finished with value: -0.426181 and parameters: {'learning_rate': 8.02826889455959e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 5.5694662843833255e-06, 'lambda': 7.658314156961565e-07, 'alpha': 0.0009981889158301573}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:11:36,253] Trial 95 finished with value: -0.426646 and parameters: {'learning_rate': 2.010354054718596e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 9.485692837836588e-06, 'lambda': 2.747019350413537e-06, 'alpha': 0.003347786864952848}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:13:37,674] Trial 96 finished with value: -0.426657 and parameters: {'learning_rate': 1.3033492060055547e-05, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 7.445057923767237e-05, 'lambda': 7.540951692049968e-08, 'alpha': 0.008881168357662925}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:16:05,695] Trial 97 finished with value: -0.426721 and parameters: {'learning_rate': 1.2227500239110028e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.0233301444047817e-05, 'lambda': 4.6894502981589555e-08, 'alpha': 0.002080548484243034}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:18:59,649] Trial 98 finished with value: -0.418379 and parameters: {'learning_rate': 1.7348300780195726e-07, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 1.0549835478526377e-05, 'lambda': 4.980472970090996e-08, 'alpha': 0.016149519238230894}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 20:21:13,409] Trial 99 finished with value: -0.426571 and parameters: {'learning_rate': 5.65280567884683e-07, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.5671534744480672e-06, 'lambda': 2.5900155012991245e-08, 'alpha': 0.0019166447674463362}. Best is trial 22 with value: -0.426964.
Number of finished trials:  100
Best trial:
  NDCG@5: 0.426964
  Params: 
    learning_rate: 0.00011223715590896655
    max_depth: 8
    min_child_weight: 2
    gamma: 4.774224162212217e-05
    lambda: 1.3029271067470638e-08
    alpha: 0.004981259392774573
