[I 2024-01-24 16:20:06,311] A new study created in memory with name: no-name-b60b012b-d5a3-4500-8277-fbba30a73341
[I 2024-01-24 16:21:47,875] Trial 0 finished with value: -0.68998 and parameters: {'learning_rate': 0.0006096187937588679, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.032232458429972556, 'lambda': 1.87345593307003e-05, 'alpha': 1.3907105688792442e-07}. Best is trial 0 with value: -0.68998.
[I 2024-01-25 01:34:26,718] Trial 89 finished with value: -0.760952 and parameters: {'learning_rate': 0.10973750832964548, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.9387542941531635e-07, 'lambda': 1.7561040334336175e-07, 'alpha': 0.0024016882390765757}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:43:14,019] Trial 90 finished with value: -0.740918 and parameters: {'learning_rate': 0.012002638399750217, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 2.4978480695488225e-06, 'lambda': 2.6315428434863905e-08, 'alpha': 0.000225822825049648}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:50:45,282] Trial 91 finished with value: -0.763313 and parameters: {'learning_rate': 0.14647402953081845, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 4.794120383258336e-06, 'lambda': 4.027173612191127e-08, 'alpha': 0.0008275824415429531}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:57:01,529] Trial 92 finished with value: -0.760206 and parameters: {'learning_rate': 0.29758825652159404, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 4.9025647046537825e-06, 'lambda': 4.4065034697090806e-08, 'alpha': 0.0004770847932480065}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:05:32,126] Trial 93 finished with value: -0.760753 and parameters: {'learning_rate': 0.074680790681727, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 1.447511651022622e-05, 'lambda': 7.897396594889109e-08, 'alpha': 0.00017289383475284532}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:12:29,310] Trial 94 finished with value: -0.764612 and parameters: {'learning_rate': 0.20317663498713626, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 2.9399768628911553e-06, 'lambda': 1.4487933915093655e-08, 'alpha': 0.0011854396799427203}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:18:54,623] Trial 95 finished with value: -0.761869 and parameters: {'learning_rate': 0.3607853962278472, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 3.0563863066664567e-06, 'lambda': 1.537680033415946e-08, 'alpha': 0.0013670914445397346}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:25:06,209] Trial 96 finished with value: -0.761059 and parameters: {'learning_rate': 0.21815652628068452, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 3.318421333905267e-07, 'lambda': 3.064367891607697e-07, 'alpha': 0.0020037054911470928}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:33:45,790] Trial 97 finished with value: -0.753488 and parameters: {'learning_rate': 0.04107366556129251, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.4626365930954202e-06, 'lambda': 2.186290578876989e-08, 'alpha': 6.806988502733465e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:38:16,030] Trial 98 finished with value: -0.752544 and parameters: {'learning_rate': 0.6340036869988375, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 6.797664508033239e-07, 'lambda': 1.250973745779778e-07, 'alpha': 0.00030998088542269546}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 02:46:44,878] Trial 99 finished with value: -0.762396 and parameters: {'learning_rate': 0.10426978993859029, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 9.676559818447821e-07, 'lambda': 1.4823228530994074e-08, 'alpha': 0.00012014282459610654}. Best is trial 38 with value: -0.765075.
Number of finished trials:  100
Best trial:
  NDCG@5: 0.765075
  Params: 
    learning_rate: 0.10746247124706873
    max_depth: 8
    min_child_weight: 4
    gamma: 3.559404459361737e-08
    lambda: 5.672536329315225e-08
    alpha: 8.100589320192288e-05
