[I 2024-01-24 16:20:02,128] A new study created in memory with name: no-name-4b484dea-2212-4c92-b110-632142b446e9
[I 2024-01-24 16:21:56,087] Trial 0 finished with value: -0.710065 and parameters: {'learning_rate': 1.7243018179564654e-07, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 0.08261224596594054, 'lambda': 5.799463240133897e-07, 'alpha': 1.9021123988012067e-08}. Best is trial 0 with value: -0.710065.
[I 2024-01-25 03:06:38,756] Trial 91 finished with value: -0.791715 and parameters: {'learning_rate': 0.11728594924111888, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.41186024210716204, 'lambda': 0.004172608460800617, 'alpha': 3.98412371419545e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:14:42,909] Trial 92 finished with value: -0.788177 and parameters: {'learning_rate': 0.07202747516260616, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.38759432732407845, 'lambda': 0.003941665986282692, 'alpha': 4.497255325830294e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:22:52,896] Trial 93 finished with value: -0.790966 and parameters: {'learning_rate': 0.11198945033670463, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.26244883684433895, 'lambda': 0.006234291008217888, 'alpha': 1.47853379081247e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:27:08,528] Trial 94 finished with value: -0.788398 and parameters: {'learning_rate': 0.37464229056711107, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.9795587362609864, 'lambda': 0.014435069608114942, 'alpha': 6.864601421524623e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:35:47,470] Trial 95 finished with value: -0.779221 and parameters: {'learning_rate': 0.03325899042587958, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.1699365264732085, 'lambda': 0.002497472847098653, 'alpha': 7.877632129157913e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:44:29,282] Trial 96 finished with value: -0.775577 and parameters: {'learning_rate': 0.021324487439008336, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.3968417046867994, 'lambda': 0.0036524178764289084, 'alpha': 3.407452646143298e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:50:33,772] Trial 97 finished with value: -0.78931 and parameters: {'learning_rate': 0.30841779112483503, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.06540529350568358, 'lambda': 0.03653377337925224, 'alpha': 0.00015334536175831012}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 03:53:51,403] Trial 98 finished with value: -0.781918 and parameters: {'learning_rate': 0.5937297549564361, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.746684415187162, 'lambda': 0.0057086709842795414, 'alpha': 1.3524121832139361e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 04:02:21,885] Trial 99 finished with value: -0.78478 and parameters: {'learning_rate': 0.05438541150299649, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.24648481148983323, 'lambda': 0.0011581114352549344, 'alpha': 4.058784468228549e-06}. Best is trial 70 with value: -0.794064.
Number of finished trials:  100
Best trial:
  NDCG@10: 0.794064
  Params: 
    learning_rate: 0.161448223694853
    max_depth: 8
    min_child_weight: 10
    gamma: 0.4316999452677402
    lambda: 0.0015706111398965069
    alpha: 3.2783259300866675e-05
